Address,Voi,Algo,Total
ODKHWTGQUBJ2I62QBLBL3BZP5YUSPJ5OVL7JHUKCJOE3T4YET6RXVT65QY,0,45827.13709,45827.13709
VESTIG3V77NNVBT5SM636UKAZ3M5OQHM76TC5622RQ4Q2XUCYZ5E4ENB3E,0,44780.24,44780.24
HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,0,42930.1657,42930.1657
2HB66TH3RORMXG4G2F5CIIUA2CDM2DFMNX2P3ZAOBQ3TFXDGUG2KFCDL4Y,0,41701.18852,41701.18852
H3A7GQA62RWHF2B7M7VOB3WFEZXCTL63J56SFITK7PAJ6OWLCCQYVR6UTI,0,38826.34122,38826.34122
VBZDMVXEJG4XAAWKVVVWMIUXRSR2J5SIX6KWEYKJ4AXLVABLPO2KTZ7LZE,0,35895.87405,35895.87405
ZBKSTHYEFKVJ5ZOQEM5LYVWWM2FS2NJQ3G2LUN5OXWYI362MCMDYAY74II,0,35766.82822,35766.82822
NSJFFB4DKHXP4EGFF4DHBJBV5Z2SCG2PUQQ7NFYX57S7CHZBZJTXCQCHRA,0,35099.4354,35099.4354
G3MSA75OZEJTCCENOJDLDJK7UD7E2K5DNC7FVHCNOV7E3I4DTXTOWDUIFQ,33295.22829,81.6372772,33376.86557
E6F5QX7MD755VIWIKGHAZEOWL43X2G6W7EFFYBQPE4SLULBCQKVIODJGYA,0,32573.44991,32573.44991
2RMPWZ6VDF5FKNIWLQQRJFMIXRCOML5NWB2XBLIUOVPQCW56F7VTUQCMAU,32178.81192,0,32178.81192
X4BW3S3SH2IU734GXYKSJEJQN7IBQV3T2DJENDXDJ4PAMN52TWQBKU3OIA,0,31445.95925,31445.95925
WBHJL6KP7LVEOQ6LT47UT7WVWSL3NRR57WUIX2DLVASJQWCRBDQEAGGCD4,0,31437.73158,31437.73158
H76JXSAJL7N7VODW6MQH5QJD3VR6MKTTSTWS4HBJR4MTB4SJ67DEHFWQEY,0,30998.48012,30998.48012
TDVXCSQXMHSEJFBFVQD2S5QA7FLSVZHJ5PLAAJ5ZSKTBQFZQJVDZCKKZ4U,0,30320.88533,30320.88533
LYIVIUSN3FAFIC2NUN6UYU2VN764U6YTCPTIX2O6EWYYU5WHAJHYMVTZM4,0,29641.59208,29641.59208
3YZSQZVT2IRE4X7NMDTWCHOBX6AD3HNQDT3M3LSVXPJU7YWOZLAF2VWZ74,0,29632.07308,29632.07308
KQCO6GGB2P7BJ6IJZOXIYV7FDYA2ACXPZBFGKQIQWE4C23FCVEHJPTQJD4,0,29511.49922,29511.49922
UIUHZ2IDTBO7JOZHKZVAQVTTKAZJFVZ66FUCDDFZCTJPWEWRHE7XIRCACY,0,29398.7172,29398.7172
FAR6R7FZTW6NZXH2SVHIPBNMPIFPAJ4BY6322PEQPTARJCODVR6BVU4A4U,0,29233.90128,29233.90128
6BPGVJNRGHRU54F5MG7YK47JSAZ7TALSEKEE5IWO7ILB6Y5KLOVXDUWIWA,0,29134.18346,29134.18346
NKZY75HAAOZGFP7527YIY7KMSFDOKOJHMUNTVFBNRENF7WZI7EEF2BIC24,0,28912.69737,28912.69737
SYR6YJI7VQ6IBAVOXOFK23J5RMH3TN2PTDMJTUBJHHFL3LATPTQPC3CXIQ,0,28542.46046,28542.46046
SPHERA52PYCJ6OMVMVE7442VSE7DGFRDLPLYQUFV5WZKUB3TAJTOCUTNAE,0,28463.19297,28463.19297
GUZHPNDSILNWMSBH2GBVF5752TSXH3NNHMGQWY3FKENKKCXRXR6DKMY4WI,0,28371.88739,28371.88739
YAWPP4H63LCIGP23JDSLNBILP2DJ6MPLELY76SY57EN465J5RMNA2JMMQ4,0,27944.5341,27944.5341
KEU3FQHJ5CVO7DC5OJKHR74Z6M3X26O4IZYHHAIV6T7SLYHJJG32LCHICQ,0,27897.22899,27897.22899
723HTRDWAABXBUSUQP2N7OHVDBOPFEAIHIAUD57GJFTRSZ37M3OXYQAJEI,0,27787.91049,27787.91049
TFXVH2MZPJXRJ6HJOQBC73HPRHMRQ5SP7Q2HSB6473EBYJCFYKGXCQA4FM,0,27768.0318,27768.0318
SGBQNMIRAARRSK4OXQFMM45T6GYHHYODSTUOPQ67V3HMJ56XDFDJU47G3E,0,27763.20044,27763.20044
ZGVH5EWHRIQVNRDQKMODY6YWVWNXGH5E3DYYY4COX3KOESSUAGVQPWUOKE,0,27644.10871,27644.10871
4IF7FHNIDXXTSPXE4UA2F7JQ5INBO6AAOO56L5RCCHZ4UVUUMEJMJTYHII,0,27600.49393,27600.49393
